Date/Time,PLANTFACTORY_1F:CEA Evapotranspiration Rate [kg/m2-s](TimeStep),PLANTFACTORY_2F:CEA Evapotranspiration Rate [kg/m2-s](TimeStep),PLANTFACTORY_3F:CEA Evapotranspiration Rate [kg/m2-s](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Electricity:HVAC [J](TimeStep),InteriorLights:Electricity [J](TimeStep),IndoorLivingWall:InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](TimeStep) 
 01/01  01:00:00,0.00003664905668456085,0.000043004372478282095,0.00004328858183811784,619261744.8284744,107716570.13274135,373027846.25718683,2848152225.69,2838551040.0,4141036396.3062997 
 01/01  02:00:00,0.00004627052417226067,0.00005346813685801311,0.00005408407937189946,619261744.8284744,98582673.68669125,373834569.69882596,2848152225.69,2838551040.0,4132782886.771045 
 01/01  03:00:00,0.00004602965486492016,0.00005334721596616106,0.00005719564634369322,0.0,93041532.56551455,378905376.09155935,2848152225.69,2838551040.0,3382693752.4087725 
 01/01  04:00:00,0.00004639056097776038,0.000053729868058709766,0.000058277108173207206,0.0,89080348.28070669,381373892.55476516,2848152225.69,2838551040.0,3381245752.1010947 
 01/01  05:00:00,0.00004638761273830024,0.00005367444482096116,0.00005816976134789482,0.0,83963785.00652911,384720195.0955433,2848152225.69,2838551040.0,3379552979.2404084 
 01/01  06:00:00,0.00004646458570540736,0.000053722987608289506,0.00005818869493717491,0.0,75481414.34620054,388061748.29135543,2857753411.38,2838551040.0,3384229753.8303595 
 01/01  07:00:00,0.00004633729338218314,0.00005345969010557904,0.000057813162916070944,0.0,68616051.70394374,391173204.22132677,2857753411.38,2838551040.0,3380599398.6180086 
 01/01  08:00:00,0.00004632462346855678,0.00005339175822566638,0.00005768622867372725,0.0,57600506.77723954,394722361.6258,2896158154.14,2838551040.0,3411994085.351221 
 01/01  09:00:00,0.00004614764333686389,0.000053064746641896956,0.00005723814222708604,0.0,21856416.454426806,403690649.02397215,3011372382.42,2838551040.0,3576708849.857175 
 01/01  10:00:00,0.000045860060613952495,0.000052513494597069386,0.00005651419073928023,0.0,0.0,407926736.0586101,3011372382.42,2838551040.0,3559088520.4373856 
 01/01  11:00:00,0.00004567108121396183,0.00005213318461237128,0.00005600500011807292,80990.6017681504,0.0,411862522.4790086,3011372382.42,2838551040.0,3563024306.8577843 
 01/01  12:00:00,0.00004582160974336058,0.000052278946187510913,0.00005613856635333252,190291.9368418458,0.0,415064028.1881193,3011372382.42,2838551040.0,3566225812.566895 
 01/01  13:00:00,0.000046214780293656005,0.0000528247997984135,0.000056764711027967346,208349.91555656193,0.0,416994138.04878503,3011372382.42,2838551040.0,3553088461.6847205 
 01/01  14:00:00,0.00004672016256571816,0.00005353199630363435,0.00005758116159087588,263466.60745674634,0.0,419801779.5635874,3011372382.42,2838551040.0,3570963563.9423633 
 01/01  15:00:00,0.00004674398665053675,0.00005355769404806867,0.000057591462521520356,303712.1033907518,0.0,422128149.7937423,3011372382.42,2838551040.0,3573289934.1725183 
 01/01  16:00:00,0.000046902437799794944,0.00005375443159890211,0.00005779945496191714,289027.1022432074,0.0,423645244.00744915,3011372382.42,2838551040.0,3574807028.3862247 
 01/01  17:00:00,0.000017641672350425968,0.000023190393191581433,0.000025848480477537616,246424.52962511528,0.0,366145336.93581575,172821342.42,0.0,678756081.3145915 
 01/01  18:00:00,0.000015065235608474632,0.000021844781649402006,0.000024518469243158403,68931.89577730802,5833394.17611414,365963156.1176771,134416599.66000003,0.0,630935091.1697272 
 01/01  19:00:00,0.000014129411647945809,0.000020543279207982824,0.00002149968075890586,0.0,40908286.26679931,365892403.49602556,96011856.90000002,0.0,597399566.393081 
 01/01  20:00:00,0.000013678112415370863,0.00002002396375164185,0.000020679146083310274,0.0,39718590.101975925,365892403.49602556,96011856.90000002,0.0,596209870.2282575 
 01/01  21:00:00,0.000013557847526239022,0.00001970098448754105,0.00002032675163288934,0.0,50552900.0099796,365906191.350209,57607114.13999998,0.0,553572237.5675892 
 01/01  22:00:00,0.000013271791277739384,0.00001917756703144464,0.00001978526047682187,0.0,51265435.769159004,366015989.4237147,57607114.13999998,0.0,554286851.2159759 
 01/01  23:00:00,0.000013105542573987958,0.000018740636110106084,0.000019352949403985178,0.0,58198399.847376175,366565122.97753984,19202371.38,0.0,507758354.0588063 
 01/01  24:00:00,0.000012994424416519664,0.00001846320290478307,0.000019096941953415165,0.0,54446827.41910466,366633759.8122367,9601185.69,0.0,494407037.52978003 
 01/02  01:00:00,0.00003680027446801702,0.00004310441655229651,0.000043414456536158854,0.0,59116604.58091281,444937514.95874643,2848152225.69,2838551040.0,3415873463.7428527 
