datetime_beginning_ept,total_lmp_da,LED_Sch
2024-01-01 00:00:00,17.2,1
2024-01-01 01:00:00,16.41,1
2024-01-01 02:00:00,16.34,1
2024-01-01 03:00:00,16.44,1
2024-01-01 04:00:00,17.23,1
2024-01-01 05:00:00,18.63,1
2024-01-01 06:00:00,20.46,1
2024-01-01 07:00:00,22.42,1
2024-01-01 08:00:00,27.7,0
2024-01-01 09:00:00,25.07,1
2024-01-01 10:00:00,25.91,0
2024-01-01 11:00:00,25.34,1
2024-01-01 12:00:00,25.21,1
2024-01-01 13:00:00,24.14,1
2024-01-01 14:00:00,24.27,1
2024-01-01 15:00:00,24.63,1
2024-01-01 16:00:00,26.86,0
2024-01-01 17:00:00,38.14,0
2024-01-01 18:00:00,33.52,0
2024-01-01 19:00:00,27.86,0
2024-01-01 20:00:00,26.16,0
2024-01-01 21:00:00,25.89,0
2024-01-01 22:00:00,23.25,1
2024-01-01 23:00:00,22.23,1
2024-01-02 00:00:00,22.44,1
2024-01-02 01:00:00,22.47,1
2024-01-02 02:00:00,21.81,1
2024-01-02 03:00:00,22.34,1
2024-01-02 04:00:00,22.89,1
2024-01-02 05:00:00,24.88,1
2024-01-02 06:00:00,40.5,0
2024-01-02 07:00:00,56.02,0
2024-01-02 08:00:00,32.81,0
2024-01-02 09:00:00,26.01,1
2024-01-02 10:00:00,30.74,1
2024-01-02 11:00:00,23.71,1
2024-01-02 12:00:00,23.82,1
2024-01-02 13:00:00,22.64,1
2024-01-02 14:00:00,22.07,1
2024-01-02 15:00:00,25.14,1
2024-01-02 16:00:00,30.9,0
2024-01-02 17:00:00,46.97,0
2024-01-02 18:00:00,34.45,0
2024-01-02 19:00:00,32.64,0
2024-01-02 20:00:00,30.88,0
2024-01-02 21:00:00,30.74,1
2024-01-02 22:00:00,27.72,1
2024-01-02 23:00:00,25.52,1
2024-01-03 00:00:00,26.97,1
2024-01-03 01:00:00,26.48,1
2024-01-03 02:00:00,25.1,1
2024-01-03 03:00:00,25.5,1
2024-01-03 04:00:00,27.32,1
2024-01-03 05:00:00,29.34,1
2024-01-03 06:00:00,43.93,0
2024-01-03 07:00:00,58.49,0
2024-01-03 08:00:00,38.31,0
2024-01-03 09:00:00,31.17,1
2024-01-03 10:00:00,33.33,0
2024-01-03 11:00:00,31.97,1
2024-01-03 12:00:00,31.49,1
2024-01-03 13:00:00,31.0,1
2024-01-03 14:00:00,30.53,1
2024-01-03 15:00:00,29.79,1
2024-01-03 16:00:00,32.51,1
2024-01-03 17:00:00,39.8,0
2024-01-03 18:00:00,38.16,0
2024-01-03 19:00:00,33.16,0
2024-01-03 20:00:00,32.58,0
2024-01-03 21:00:00,30.09,1
2024-01-03 22:00:00,29.55,1
2024-01-03 23:00:00,25.87,1
2024-01-04 00:00:00,28.59,1
2024-01-04 01:00:00,26.56,1
2024-01-04 02:00:00,25.22,1
2024-01-04 03:00:00,25.2,1
2024-01-04 04:00:00,26.06,1
2024-01-04 05:00:00,26.08,1
2024-01-04 06:00:00,35.38,1
2024-01-04 07:00:00,43.58,1
2024-01-04 08:00:00,44.09,1
2024-01-04 09:00:00,44.95,1
2024-01-04 10:00:00,47.29,0
2024-01-04 11:00:00,48.5,0
2024-01-04 12:00:00,40.9,1
2024-01-04 13:00:00,36.81,1
2024-01-04 14:00:00,35.1,1
2024-01-04 15:00:00,31.38,1
2024-01-04 16:00:00,43.89,1
2024-01-04 17:00:00,74.52,0
2024-01-04 18:00:00,59.84,0
2024-01-04 19:00:00,66.71,0
2024-01-04 20:00:00,74.87,0
2024-01-04 21:00:00,67.88,0
2024-01-04 22:00:00,59.38,0
2024-01-04 23:00:00,38.44,1
2024-01-05 00:00:00,43.13,1
2024-01-05 01:00:00,43.27,1
2024-01-05 02:00:00,40.48,1
2024-01-05 03:00:00,38.97,1
2024-01-05 04:00:00,44.57,0
2024-01-05 05:00:00,50.16,0
2024-01-05 06:00:00,83.91,0
2024-01-05 07:00:00,92.42,0
2024-01-05 08:00:00,68.01,0
2024-01-05 09:00:00,44.38,0
2024-01-05 10:00:00,35.04,1
2024-01-05 11:00:00,32.3,1
2024-01-05 12:00:00,38.5,1
2024-01-05 13:00:00,39.44,1
2024-01-05 14:00:00,42.34,1
