Time,NGA VAV:DesPer 1:Des Heat Mass Flow [kg/s],NGA VAV:DesPer 1:Des Heat Cap [W],NGA VAV:DesPer 1:Des Cool Mass Flow [kg/s],NGA VAV:DesPer 1:Des Sens Cool Cap [W],NGA VAV:DesPer 1:Des Tot Cool Cap [W],NGA VAV:DesPer 2:Des Heat Mass Flow [kg/s],NGA VAV:DesPer 2:Des Heat Cap [W],NGA VAV:DesPer 2:Des Cool Mass Flow [kg/s],NGA VAV:DesPer 2:Des Sens Cool Cap [W],NGA VAV:DesPer 2:Des Tot Cool Cap [W],GA1F VAV:DesPer 1:Des Heat Mass Flow [kg/s],GA1F VAV:DesPer 1:Des Heat Cap [W],GA1F VAV:DesPer 1:Des Cool Mass Flow [kg/s],GA1F VAV:DesPer 1:Des Sens Cool Cap [W],GA1F VAV:DesPer 1:Des Tot Cool Cap [W],GA1F VAV:DesPer 2:Des Heat Mass Flow [kg/s],GA1F VAV:DesPer 2:Des Heat Cap [W],GA1F VAV:DesPer 2:Des Cool Mass Flow [kg/s],GA1F VAV:DesPer 2:Des Sens Cool Cap [W],GA1F VAV:DesPer 2:Des Tot Cool Cap [W],GA2F VAV:DesPer 1:Des Heat Mass Flow [kg/s],GA2F VAV:DesPer 1:Des Heat Cap [W],GA2F VAV:DesPer 1:Des Cool Mass Flow [kg/s],GA2F VAV:DesPer 1:Des Sens Cool Cap [W],GA2F VAV:DesPer 1:Des Tot Cool Cap [W],GA2F VAV:DesPer 2:Des Heat Mass Flow [kg/s],GA2F VAV:DesPer 2:Des Heat Cap [W],GA2F VAV:DesPer 2:Des Cool Mass Flow [kg/s],GA2F VAV:DesPer 2:Des Sens Cool Cap [W],GA2F VAV:DesPer 2:Des Tot Cool Cap [W],GA3F VAV:DesPer 1:Des Heat Mass Flow [kg/s],GA3F VAV:DesPer 1:Des Heat Cap [W],GA3F VAV:DesPer 1:Des Cool Mass Flow [kg/s],GA3F VAV:DesPer 1:Des Sens Cool Cap [W],GA3F VAV:DesPer 1:Des Tot Cool Cap [W],GA3F VAV:DesPer 2:Des Heat Mass Flow [kg/s],GA3F VAV:DesPer 2:Des Heat Cap [W],GA3F VAV:DesPer 2:Des Cool Mass Flow [kg/s],GA3F VAV:DesPer 2:Des Sens Cool Cap [W],GA3F VAV:DesPer 2:Des Tot Cool Cap [W]
00:01:00,6.493386E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.742967E+03,5.270514E-01,1.070240E+03,6.986723E+03,1.200181E-02,4.510485E+02,3.150012E+00,2.177945E+04,9.727522E+04,1.200181E-02,6.246177E+01,3.347791E+00,2.415588E+04,9.059070E+04,1.199022E-02,4.506130E+02,5.020021E+00,3.586565E+04,1.528775E+05,1.199022E-02,6.240147E+01,6.835283E+00,4.937770E+04,1.915369E+05,1.199022E-02,4.506130E+02,1.199022E-02,0.000000E+00,0.000000E+00,1.199022E-02,6.240147E+01,7.153488E+00,5.168055E+04,2.108720E+05
00:02:00,6.493405E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.751017E+03,5.270514E-01,1.062190E+03,6.978455E+03,1.200181E-02,4.510485E+02,5.715469E+00,4.001213E+04,1.627916E+05,1.200181E-02,6.264508E+01,4.916202E+00,3.549759E+04,1.298311E+05,1.199022E-02,4.506130E+02,7.389958E+00,5.299434E+04,2.023963E+05,1.199022E-02,6.258461E+01,9.225085E+00,6.664738E+04,2.369835E+05,1.199022E-02,4.506130E+02,5.214263E+00,3.196173E+04,1.414467E+05,1.199022E-02,6.258461E+01,1.061815E+01,7.671772E+04,2.786640E+05
00:03:00,6.493425E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.759067E+03,5.270514E-01,1.054140E+03,6.970187E+03,1.200181E-02,4.510485E+02,6.136355E+00,4.315568E+04,1.569111E+05,1.200181E-02,6.282840E+01,6.138760E+00,4.433557E+04,1.571517E+05,1.199022E-02,4.506130E+02,8.124051E+00,5.829216E+04,1.978281E+05,1.199022E-02,6.276775E+01,1.034267E+01,7.471622E+04,2.410898E+05,1.199022E-02,4.506130E+02,6.378319E+00,4.036738E+04,1.529652E+05,1.199022E-02,6.276775E+01,1.238982E+01,8.950615E+04,2.806745E+05
00:04:00,6.493445E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.767117E+03,5.270514E-01,1.046090E+03,6.961918E+03,1.200181E-02,4.510485E+02,6.200498E+00,4.379163E+04,1.542642E+05,1.200181E-02,6.301171E+01,7.123395E+00,5.145247E+04,1.795845E+05,1.199022E-02,4.506130E+02,8.378499E+00,6.012907E+04,1.974382E+05,1.199022E-02,6.295088E+01,1.101915E+01,7.960199E+04,2.488218E+05,1.199022E-02,4.506130E+02,6.704089E+00,4.374931E+04,1.494136E+05,1.199022E-02,6.295088E+01,1.322696E+01,9.554812E+04,2.802410E+05
00:05:00,6.493464E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.775168E+03,5.270514E-01,1.038040E+03,6.953645E+03,1.200181E-02,4.510485E+02,6.992924E+00,4.965563E+04,1.821682E+05,1.200181E-02,6.319502E+01,8.210181E+00,5.930799E+04,2.080225E+05,1.199022E-02,4.506130E+02,9.305284E+00,6.682928E+04,2.292201E+05,1.199022E-02,6.313402E+01,1.214915E+01,8.776876E+04,2.826534E+05,1.199022E-02,4.506130E+02,7.365974E+00,4.955745E+04,1.692783E+05,1.199022E-02,6.313402E+01,1.453594E+01,1.050066E+05,3.177738E+05
00:06:00,6.493484E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.783218E+03,5.270514E-01,1.029990E+03,6.945377E+03,1.200181E-02,4.510485E+02,8.519396E+00,6.085236E+04,2.321932E+05,1.200181E-02,6.337834E+01,9.485951E+00,6.852862E+04,2.429401E+05,1.199022E-02,4.506130E+02,1.093638E+01,7.861821E+04,2.819301E+05,1.199022E-02,6.331716E+01,1.381096E+01,9.977698E+04,3.327216E+05,1.199022E-02,4.506130E+02,8.939211E+00,6.200648E+04,2.198832E+05,1.199022E-02,6.331716E+01,1.661399E+01,1.200203E+05,3.827270E+05
00:07:00,6.493503E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.791268E+03,5.270514E-01,1.021940E+03,6.937108E+03,1.200181E-02,4.510485E+02,6.952575E+00,4.979199E+04,1.900712E+05,1.200181E-02,6.356165E+01,9.099472E+00,6.572834E+04,2.338438E+05,1.199022E-02,4.506130E+02,8.718024E+00,6.257293E+04,2.256656E+05,1.199022E-02,6.350029E+01,1.210721E+01,8.745206E+04,2.934936E+05,1.199022E-02,4.506130E+02,1.091720E+01,7.800236E+04,2.778097E+05,1.199022E-02,6.350029E+01,1.466148E+01,1.058965E+05,3.433684E+05
00:08:00,6.493523E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.799318E+03,5.270514E-01,1.013889E+03,6.928836E+03,1.200181E-02,4.510485E+02,5.589896E+00,3.996872E+04,1.491483E+05,1.200181E-02,6.374497E+01,8.819878E+00,6.370846E+04,2.256751E+05,1.199022E-02,4.506130E+02,7.733846E+00,5.546849E+04,1.957040E+05,1.199022E-02,6.368343E+01,1.127395E+01,8.143950E+04,2.691638E+05,1.199022E-02,4.506130E+02,7.462939E+00,5.345526E+04,1.869869E+05,1.199022E-02,6.368343E+01,1.331220E+01,9.616190E+04,3.064924E+05
00:09:00,6.493542E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.807368E+03,5.270514E-01,1.005839E+03,6.920567E+03,1.200181E-02,4.510485E+02,6.086018E+00,4.356327E+04,1.595811E+05,1.200181E-02,6.392828E+01,8.810793E+00,6.364422E+04,2.242132E+05,1.199022E-02,4.506130E+02,8.114665E+00,5.822771E+04,2.016020E+05,1.199022E-02,6.386657E+01,1.151449E+01,8.318494E+04,2.709476E+05,1.199022E-02,4.506130E+02,7.691872E+00,5.516990E+04,1.879385E+05,1.199022E-02,6.386657E+01,1.337064E+01,9.659729E+04,3.012862E+05
00:10:00,6.493561E-01,1.980765E+04,5.270514E-01,0.000000E+00,0.000000E+00,5.270514E-01,2.815418E+03,5.270514E-01,9.977893E+02,6.912299E+03,1.200181E-02,4.510485E+02,6.970523E+00,4.995837E+04,1.831393E+05,1.200181E-02,6.411159E+01,9.024192E+00,6.518725E+04,2.292523E+05,1.199022E-02,4.506130E+02,8.982555E+00,6.450203E+04,2.231828E+05,1.199022E-02,6.404970E+01,1.218107E+01,8.800312E+04,2.860653E+05,1.199022E-02,4.506130E+02,8.635514E+00,6.199555E+04,2.090918E+05,1.199022E-02,6.404970E+01,1.429642E+01,1.032908E+05,3.201498E+05
