Date/Time,Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Electricity:HVAC [J](TimeStep),InteriorLights:Electricity [J](TimeStep),IndoorLivingWall:InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](TimeStep) 
 07/08  00:01:00,11064701.57672619,283233.1264342538,3203184.3953332775,47469203.7615,47309184.0,65465120.61197535 
 07/08  00:02:00,11064701.57672619,286451.89907462586,3203184.3953332775,47469211.238922015,47309191.477422014,65468680.98852906 
 07/08  00:03:00,11064701.57672619,287207.7732697568,3203184.3953332775,47469186.29033052,47309166.52883052,65469745.95448734 
 07/08  00:04:00,11064701.57672619,286514.0439590644,3203184.3953332775,47469201.20045313,47309181.43895313,65469401.11712623 
 07/08  00:05:00,11064701.57672619,285343.38643598516,3203184.3953332775,47469213.12855123,47309193.36705123,65468576.187576905 
 07/08  00:06:00,11064701.57672619,284255.2028269458,3203184.3953332775,47469223.03881869,47309203.277318686,65467831.658302225 
 07/08  00:07:00,11064701.57672619,282847.8345755859,3203184.3953332775,47469231.563999765,47309211.80249976,65466766.4149023 
 07/08  00:08:00,11064701.57672619,281223.21564062947,3203184.3953332775,47469238.992228225,47309219.230728224,65465482.59878254 
 07/08  00:09:00,11064701.57672619,279525.034332298,3203184.3953332775,47469245.59509796,47309225.83359796,65464124.18219543 
 07/08  00:10:00,11064701.57672619,278043.2577340718,3203184.3953332775,47469251.537680715,47309231.776180714,65462981.31966787 
 07/08  00:11:00,11064701.57672619,276225.6218374726,3203184.3953332775,47469255.9955122,47309236.2340122,65461500.81866297 
 07/08  00:12:00,11064701.57672619,274657.1116134271,3203184.3953332775,47469260.46407685,47309240.702576846,65460269.19408088 
 07/08  00:13:00,11064701.57672619,273028.1413065945,3203184.3953332775,47469260.48554313,47309240.72404313,65458972.3485592 
 07/08  00:14:00,11064701.57672619,271044.5761655384,3203184.3953332775,47469260.50700942,47309240.745509416,65457320.573541954 
 07/08  00:15:00,11064701.57672619,269305.8042089267,3203184.3953332775,47469260.528475694,47309240.7669757,65455913.21464879 
 07/08  00:16:00,11064701.57672619,267442.10343287257,3203184.3953332775,47469260.54636428,47309240.78486428,65454380.56270204 
 07/08  00:17:00,11064701.57672619,265412.3892639003,3203184.3953332775,47469260.59645227,47309240.83495227,65452681.506623425 
 07/08  00:18:00,11064701.57672619,263492.3699773909,3203184.3953332775,47469260.639384836,47309240.877884835,65451091.60898583 
 07/08  00:19:00,11064701.57672619,261372.3003136888,3203184.3953332775,47469260.64296256,47309240.88146256,65449301.190815054 
 07/08  00:20:00,11064701.57672619,259475.97704876232,3203184.3953332775,47469260.61076312,47309240.84926312,65447734.030833475 
 07/08  00:21:00,11064701.57672619,257470.05417638976,3203184.3953332775,47469260.57856369,47309240.81706369,65446056.698799 
 07/08  00:22:00,11064701.57672619,255402.028052435,3203184.3953332775,47469260.51416485,47309240.75266485,65444316.65070775 
 07/08  00:23:00,11064701.57672619,253428.8458388383,3203184.3953332775,47469260.42472199,47309240.663222,65442670.77903757 
 07/08  00:24:00,11064701.57672619,251326.0769403995,3203184.3953332775,47469260.31381287,47309240.552312866,65440894.74042738 
 07/08  00:25:00,11064701.57672619,249305.83204806538,3203184.3953332775,47469260.217214584,47309240.45571458,65439200.61862044 
 07/08  00:26:00,11064701.57672619,247343.49548881128,3203184.3953332775,47469260.13492717,47309240.37342717,65437563.67851093 
 07/08  00:27:00,11064701.57672619,245316.04421723858,3203184.3953332775,47469260.07052833,47309240.30902833,65435860.844233766 
 07/08  00:28:00,11064701.57672619,243216.87831080845,3203184.3953332775,47469260.05621747,47309240.29471747,65434085.71818582 
 07/08  00:29:00,11064701.57672619,241271.8422380093,3203184.3953332775,47469111.99968381,47309092.23818382,65432315.85759196 
 07/08  00:30:00,11064701.57672619,239319.73566311458,3203184.3953332775,47468832.31547866,47308812.55397866,65430406.478362955 
 07/08  00:31:00,11064701.57672619,237342.6804956085,3203184.3953332775,47468343.27419016,47308323.51269016,65428261.89348222 
 07/08  00:32:00,11064701.57672619,235302.60128271906,3203184.3953332775,47467914.0272338,47307894.26573381,65426113.25967673 
 07/08  00:33:00,11064701.57672619,233539.28922274272,3203184.3953332775,47467934.92823832,47307915.16673832,65424690.581355624 
 07/08  00:34:00,11064701.57672619,231434.1082772031,3203184.3953332775,47468039.54774772,47308019.786247715,65423008.80811362 
 07/08  00:35:00,11064701.57672619,229460.32926353093,3203184.3953332775,47468166.606678575,47308146.845178574,65421479.87815888 
 07/08  00:36:00,11064701.57672619,227610.22467187792,3203184.3953332775,47468287.658627845,47308267.897127844,65420067.56395107 
 07/08  00:37:00,11064701.57672619,225750.1590494144,3203184.3953332775,47468458.07229556,47308438.31079556,65418693.64931699 
 07/08  00:38:00,11064701.57672619,223754.20734706672,3203184.3953332775,47467986.90526563,47307967.14376563,65416541.131452784 
 07/08  00:39:00,11064701.57672619,222033.05903298807,3203184.3953332775,47467454.4090643,47307434.6475643,65414600.984507166 
 07/08  00:40:00,11064701.57672619,220075.9199478633,3203184.3953332775,47466938.38107999,47306918.619579986,65412440.08506793 
 07/08  00:41:00,11064701.57672619,218116.53180715305,3203184.3953332775,47466376.010967724,47306356.24946772,65410229.48174359 
 07/08  00:42:00,11064701.57672619,216359.17242514805,3203184.3953332775,47465803.15457608,47305783.39307608,65408209.150990546 
 07/08  00:43:00,11064701.57672619,214603.0125971643,3203184.3953332775,47464771.170161724,47304751.40866172,65405729.56215782 
 07/08  00:44:00,11064701.57672619,212657.30515163465,3203184.3953332775,47463819.95979371,47303800.19829371,65403139.91626302 
 07/08  00:45:00,11064701.57672619,211008.44618722502,3203184.3953332775,47463040.748020664,47303020.98652067,65401017.74823193 
 07/08  00:46:00,11064701.57672619,209118.4600684991,3203184.3953332775,47462432.035780475,47302412.27428047,65398823.55812947 
 07/08  00:47:00,11064701.57672619,207318.89566052647,3203184.3953332775,47461998.277326904,47301978.51582691,65396893.30364635 
 07/08  00:48:00,11064701.57672619,205594.64759429023,3203184.3953332775,47461667.72160804,47301647.96010804,65395140.14102453 
 07/08  00:49:00,11064701.57672619,203653.84539390978,3203184.3953332775,47461426.90568653,47301407.14418653,65393258.56261935 
 07/08  00:50:00,11064701.57672619,201961.54622000974,3203184.3953332775,47461271.343109146,47301251.58160915,65391709.21641033 
 07/08  00:51:00,11064701.57672619,200275.3930668675,3203184.3953332775,47461192.06096947,47301172.29946948,65390240.728485025 
 07/08  00:52:00,11064701.57672619,198593.84404830824,3203184.3953332775,47461183.07375221,47301163.31225221,65388845.475739054 
 07/08  00:53:00,11064701.57672619,196875.07942712144,3203184.3953332775,47461183.06301906,47301163.301519066,65387420.29563757 
 07/08  00:54:00,11064701.57672619,195095.90259963795,3203184.3953332775,47461183.055863634,47301163.29436363,65385933.019426726 
 07/08  00:55:00,11064701.57672619,193305.10316409997,3203184.3953332775,47461183.052285925,47301163.29078592,65384432.336921886 
 07/08  00:56:00,11064701.57672619,191586.21944678313,3203184.3953332775,47461183.052285925,47301163.29078592,65383001.794517875 
 07/08  00:57:00,11064701.57672619,190039.53690508785,3203184.3953332775,47461183.0200865,47301163.258586496,65381741.5920816 
 07/08  00:58:00,11064701.57672619,188256.56429309485,3203184.3953332775,47461182.99146478,47301163.22996478,65380243.109845705 
 07/08  00:59:00,11064701.57672619,186517.50574757092,3203184.3953332775,47461182.96642078,47301163.20492078,65378786.68859202 
 07/08  01:00:00,11064701.57672619,184941.41574457116,3203184.3953332775,47461182.944954515,47301163.18345451,65377491.25071877 
 07/08  01:01:00,11064701.57672619,183990.78680605156,3203184.3953332775,47461182.92706593,47301163.16556594,65376264.69138928 
 07/08  01:02:00,11064701.57672619,183862.56016192018,3203184.3953332775,47461182.91275509,47301163.151255086,65375861.42925579 
 07/08  01:03:00,11064701.57672619,184078.3439968127,3203184.3953332775,47461182.90202193,47301163.14052193,65375802.848165594 
 07/08  01:04:00,11064701.57672619,184288.85790218355,3203184.3953332775,47461182.89486652,47301163.13336652,65375739.78120798 
 07/08  01:05:00,11064701.57672619,184550.91613695098,3203184.3953332775,47461182.891288795,47301163.1297888,65375729.15179119 
 07/08  01:06:00,11064701.57672619,184957.04253630986,3203184.3953332775,47461182.891288795,47301163.1297888,65375863.30945531 
 07/08  01:07:00,11064701.57672619,185423.28259108457,3203184.3953332775,47461182.891288795,47301163.1297888,65376058.34816565 
 07/08  01:08:00,11064701.57672619,185759.44917579653,3203184.3953332775,47461196.35064843,47301176.58914843,65376137.64448509 
 07/08  01:09:00,11064701.57672619,186043.37067920485,3203184.3953332775,47461208.31452365,47301188.55302365,65376163.92996182 
 07/08  01:10:00,11064701.57672619,186622.68376106303,3203184.3953332775,47461259.16099338,47301239.39949338,65376525.242268614 
 07/08  01:11:00,11064701.57672619,187061.94942651558,3203184.3953332775,47461304.02552547,47301284.26402548,65376741.26157695 
 07/08  01:12:00,11064701.57672619,187385.55031688398,3203184.3953332775,47461342.908119954,47301323.14661996,65376836.46187486 
 07/08  01:13:00,11064701.57672619,187816.389911672,3203184.3953332775,47461362.34941721,47301342.58791721,65377020.16099413 
 07/08  01:14:00,11064701.57672619,188289.16370851864,3203184.3953332775,47461336.926182345,47301317.16468234,65377201.78365228 
 07/08  01:15:00,11064701.57672619,188676.26268605242,3203184.3953332775,47461311.50294748,47301291.74144748,65377298.4363264 
 07/08  01:16:00,11064701.57672619,189143.90086227146,3203184.3953332775,47461339.884951726,47301320.12345173,65377530.22953643 
 07/08  01:17:00,11064701.57672619,189574.91045213354,3203184.3953332775,47461362.28859607,47301342.52709608,65377720.142884456 
 07/08  01:18:00,11064701.57672619,190015.16537860956,3203184.3953332775,47461326.339726955,47301306.57822696,65377861.70515146 
 07/08  01:19:00,11064701.57672619,190572.07838734437,3203184.3953332775,47461291.89349769,47301272.13199769,65378122.105213545 
 07/08  01:20:00,11064701.57672619,191017.55163674126,3203184.3953332775,47461276.89572109,47301257.13422109,65378291.41524978 
 07/08  01:21:00,11064701.57672619,191430.8684963276,3203184.3953332775,47461252.932193495,47301233.1706935,65378420.23050047 
 07/08  01:22:00,11064701.57672619,192026.58391290496,3203184.3953332775,47461234.95775895,47301215.19625895,65378738.212928005 
 07/08  01:23:00,11064701.57672619,192587.07757034988,3203184.3953332775,47461221.44473362,47301201.68323362,65379026.21191419 
 07/08  01:24:00,11064701.57672619,192936.63161248318,3203184.3953332775,47461207.94244141,47301188.18094141,65379103.96132211 
