DATE (MM/DD/YYYY),HOUR-MST,Avg Global Horizontal [W/m^2],Avg Direct Normal [W/m^2],Avg Diffuse Horizontal [W/m^2],Avg Air Temperature [deg C],Avg Dew Point Temp [deg C],Avg Rel Humidity [%],Avg Avg Wind Speed @ 10m [m/s],Avg Station Pressure [mBar]
1/1/2024,1,-1.4360,-0.0338,0.0000,-7.5662,-9.2360,87.8333,2.3141,834.7512
1/1/2024,2,-1.3104,-0.2686,0.0000,-7.9071,-9.6422,87.3533,2.5312,834.6445
1/1/2024,3,-1.3879,0.0801,0.0000,-8.2097,-9.7693,88.5383,2.5354,834.8298
1/1/2024,4,-1.2029,-0.2571,0.0000,-8.4796,-10.2333,87.1667,2.6727,834.4899
1/1/2024,5,-1.2035,-0.0739,0.0000,-9.1450,-10.8788,87.2300,3.0208,834.3257
1/1/2024,6,-1.1620,-0.2280,0.0000,-9.6527,-11.4198,86.9417,2.2194,834.4957
1/1/2024,7,-1.2388,0.2159,0.0311,-8.6610,-10.8273,84.3317,1.4140,834.7080
1/1/2024,8,24.6242,231.4105,11.5136,-7.1749,-9.9425,80.7138,2.0491,834.7431
1/1/2024,9,161.5023,708.7272,34.9272,1.1533,-5.8547,60.0187,1.3738,834.9259
1/1/2024,10,317.8284,862.8915,49.6328,5.4225,-6.0722,43.5587,4.5293,835.3320
1/1/2024,11,277.4581,413.6006,114.9208,7.0980,-6.8959,36.2063,3.8497,835.3595
1/1/2024,12,464.8655,749.3088,127.2078,9.9183,-7.5372,28.5803,2.8900,834.6769
1/1/2024,13,467.8556,830.1802,91.0423,11.5480,-8.0524,24.5450,2.9175,833.9294
1/1/2024,14,433.5381,926.0331,52.3691,12.2642,-9.0365,21.6702,2.4013,833.2302
1/1/2024,15,233.9270,405.9238,93.1664,11.7833,-9.4112,21.7712,2.3382,833.2286
1/1/2024,16,75.6542,11.7116,75.9840,9.5463,-8.8978,26.2825,1.9562,833.5731
1/1/2024,17,14.0024,-1.5313,15.2193,6.2617,-8.1925,34.9433,2.5198,833.9203
1/1/2024,18,-1.3869,-2.0060,-0.2896,1.5547,-7.0836,52.8693,2.7037,834.1142
1/1/2024,19,-1.5479,-1.2597,-0.3784,-1.4881,-7.5169,63.5392,2.0813,834.2387
